,Symbol,Date,Open,High,Low,Close
0,TREE:US,11/12/2018,242.9806,249.0875,241.48,245.4366
1,TREE:US,10/12/2018,260.2386,260.2386,234.6679,239.76
2,TREE:US,08/12/2018,260.2386,260.2386,250.15,250.15
3,TREE:US,07/12/2018,260.2386,261.4,238.84,243.245
4,TREE:US,06/12/2018,240.035,259.22,240.035,259.22
5,TREE:US,04/12/2018,270.0,270.0,265.985,265.985
6,TREE:US,03/12/2018,270.0,270.0,262.0,265.9
7,TREE:US,01/12/2018,254.65,261.92,254.65,261.92
8,TREE:US,30/11/2018,254.65,263.195,254.65,260.5
9,TREE:US,29/11/2018,248.41,259.2169,248.41,253.98
10,TREE:US,28/11/2018,248.41,257.78,240.74,254.16
11,TREE:US,27/11/2018,242.005,248.81,239.33,245.8611
12,TREE:US,26/11/2018,229.725,246.615,229.725,246.22
13,TREE:US,23/11/2018,232.29,232.5399,221.3101,228.2
14,TREE:US,21/11/2018,232.29,234.79,222.35,226.67
15,TREE:US,20/11/2018,232.29,232.29,220.57,224.64
16,TREE:US,19/11/2018,232.29,241.69,223.16,226.05
17,TREE:US,16/11/2018,232.29,240.0,230.74,236.99
18,TREE:US,15/11/2018,225.0,235.0,225.0,234.72
19,TREE:US,14/11/2018,245.94,245.94,225.26,227.65
20,TREE:US,13/11/2018,239.0,244.99,235.535,239.56
21,TREE:US,12/11/2018,246.28,246.28,227.83,237.1
22,TREE:US,09/11/2018,246.28,246.86,236.24,245.89
23,TREE:US,08/11/2018,260.24,267.78,247.15,248.55
24,TREE:US,07/11/2018,251.0,268.39,251.0,263.95
25,TREE:US,06/11/2018,251.0,260.0,249.88,255.81
26,TREE:US,05/11/2018,260.0,262.8355,245.7451,250.32
27,TREE:US,02/11/2018,220.0625,266.44,220.0625,261.95
28,TREE:US,01/11/2018,220.0625,261.53,220.0625,250.01
29,TREE:US,31/10/2018,198.58,210.26,198.58,202.444
30,TREE:US,30/10/2018,198.58,198.58,184.23,194.65
31,TREE:US,29/10/2018,198.58,202.48,184.14,184.14
32,TREE:US,26/10/2018,198.58,203.5,191.7,197.26
33,TREE:US,25/10/2018,206.37,206.37,200.94,203.0705
34,TREE:US,24/10/2018,206.541,207.94,199.84,200.5
35,TREE:US,23/10/2018,201.29,208.84,196.63,208.13
36,TREE:US,22/10/2018,215.21,215.21,199.02,203.64
37,TREE:US,19/10/2018,215.21,220.98,205.395,207.075
38,TREE:US,18/10/2018,217.52,220.005,211.28,213.84
39,TREE:US,17/10/2018,219.48,221.7625,215.75,218.52
40,TREE:US,16/10/2018,212.425,222.31,210.16,219.98
41,TREE:US,15/10/2018,208.53,209.78,199.98,208.98
42,TREE:US,11/10/2018,208.53,211.9,203.695,206.46
43,TREE:US,10/10/2018,216.21,216.3,209.985,210.415
44,TREE:US,09/10/2018,214.3,220.255,213.4745,216.935
45,TREE:US,04/10/2018,218.57,218.57,211.0,211.06
46,TREE:US,02/10/2018,219.1358,219.1358,211.0,215.585
47,TREE:US,01/10/2018,227.8,230.0,217.39,218.5
48,TREE:US,28/09/2018,224.7,232.0,224.7,230.3
49,TREE:US,27/09/2018,229.4,229.4,221.7,226.8
50,TREE:US,26/09/2018,229.4,229.4,222.3,223.325
51,TREE:US,25/09/2018,224.0,234.425,224.0,229.1
52,TREE:US,24/09/2018,224.0,226.025,223.0,226.025
53,TREE:US,21/09/2018,233.1505,238.85,225.4,228.05
54,TREE:US,20/09/2018,229.9,232.2548,227.55,230.55
55,TREE:US,19/09/2018,235.3,235.3,226.15,230.6
56,TREE:US,18/09/2018,228.7,234.95,228.1,232.4
57,TREE:US,17/09/2018,235.775,239.6,225.75,226.9
58,TREE:US,14/09/2018,233.075,238.6,232.45,236.1
59,TREE:US,13/09/2018,242.5504,243.3,230.1,230.725
60,TREE:US,12/09/2018,242.65,242.65,233.65,240.825
61,TREE:US,11/09/2018,249.275,249.4,241.15,243.0
62,TREE:US,10/09/2018,246.6523,253.445,246.6,248.3
63,TREE:US,07/09/2018,246.55,255.95,246.55,247.8
64,TREE:US,06/09/2018,253.55,258.3,240.45,248.85
65,TREE:US,05/09/2018,256.9,256.9,251.5,253.55
66,TREE:US,04/09/2018,248.2,258.475,248.2,258.475
67,TREE:US,31/08/2018,248.2,256.0,248.2,253.0
68,TREE:US,30/08/2018,245.1,251.1842,245.0,249.15
69,TREE:US,29/08/2018,244.1,245.7,242.225,245.1
70,TREE:US,28/08/2018,244.1,246.7,240.76,244.3
71,TREE:US,27/08/2018,244.1,249.55,242.55,243.35
72,TREE:US,24/08/2018,234.6,241.95,234.6,240.1
73,TREE:US,23/08/2018,233.15,239.45,227.525,233.95
74,TREE:US,22/08/2018,233.15,239.55,233.15,237.65
75,TREE:US,21/08/2018,226.25,235.225,226.25,233.35
76,TREE:US,20/08/2018,226.25,231.35,226.0,229.65
77,TREE:US,17/08/2018,226.25,230.2,221.5,230.2
78,TREE:US,16/08/2018,228.0,232.3,224.05,226.6
79,TREE:US,15/08/2018,237.75,239.1794,228.85,232.9
80,TREE:US,14/08/2018,237.725,240.075,234.45,238.25
81,TREE:US,13/08/2018,243.15,247.2781,236.95,237.375
82,TREE:US,10/08/2018,244.5,253.86,243.5,245.75
83,TREE:US,09/08/2018,244.2,252.85,241.5,248.0
84,TREE:US,08/08/2018,240.0002,244.9,238.8,244.35
85,TREE:US,07/08/2018,238.75,245.45,238.75,241.1471
86,TREE:US,06/08/2018,244.6984,246.3,240.3,244.35
87,TREE:US,27/07/2018,251.4,251.4,235.325,236.95
88,TREE:US,25/07/2018,246.3,248.55,243.9,245.9947
89,TREE:US,24/07/2018,245.3,247.55,238.55,238.55
90,TREE:US,23/07/2018,245.3,246.6,240.9,245.1
91,TREE:US,19/07/2018,247.5,252.55,245.05,247.75
92,TREE:US,18/07/2018,235.2,250.95,235.2,249.55
93,TREE:US,17/07/2018,235.2,242.05,235.05,239.05
94,TREE:US,16/07/2018,234.725,238.15,232.75,235.5
95,TREE:US,13/07/2018,245.9,245.9,225.0,232.25
96,TREE:US,12/07/2018,226.1,248.1776,226.1,246.5
97,TREE:US,11/07/2018,226.1,241.85,225.8,238.5
98,TREE:US,10/07/2018,227.25,228.5,220.775,222.65
99,TREE:US,09/07/2018,224.0003,227.45,221.3,227.25
100,TREE:US,06/07/2018,220.2,220.35,220.0,220.35
101,TREE:US,05/07/2018,214.75,219.65,214.75,219.65
102,TREE:US,03/07/2018,214.75,215.9,214.75,215.9
103,TREE:US,02/07/2018,214.75,214.925,213.925,213.925
104,TREE:US,29/06/2018,214.15,214.2,213.3,213.95
105,TREE:US,28/06/2018,210.125,213.2,205.875,210.15
106,TREE:US,27/06/2018,228.55,228.55,207.0,210.85
107,TREE:US,26/06/2018,238.0,238.0,224.35,226.5
108,TREE:US,25/06/2018,263.4,263.4,244.975,246.85
109,TREE:US,22/06/2018,263.4,263.4,252.805,257.3
110,TREE:US,21/06/2018,263.4,266.3,252.45,258.3
111,TREE:US,20/06/2018,263.4,269.3,262.275,267.0
112,TREE:US,19/06/2018,252.7627,263.35,248.35,259.2
113,TREE:US,18/06/2018,253.5,267.55,251.225,256.95
114,TREE:US,15/06/2018,247.425,255.4449,241.9,254.15
115,TREE:US,14/06/2018,246.95,250.9,246.3,247.7
116,TREE:US,13/06/2018,290.025,290.025,242.945,246.4
117,TREE:US,12/06/2018,290.025,296.55,265.2,265.575
118,TREE:US,11/06/2018,281.2,289.35,279.825,289.125
119,TREE:US,08/06/2018,270.1,278.45,269.55,277.8
120,TREE:US,07/06/2018,271.25,281.1,267.9003,269.15
121,TREE:US,06/06/2018,264.8,272.4,264.75,270.45
122,TREE:US,05/06/2018,260.95,265.8,258.6,263.75
123,TREE:US,04/06/2018,261.85,261.85,256.85,261.3
124,TREE:US,01/06/2018,260.85,264.35,258.3,260.25
125,TREE:US,31/05/2018,262.4,262.8,258.3,258.75
126,TREE:US,30/05/2018,262.4,262.4,256.75,260.05
127,TREE:US,29/05/2018,259.85,263.3395,256.0,258.15
128,TREE:US,25/05/2018,262.5,264.3,258.4,260.25
129,TREE:US,24/05/2018,264.45,269.85,262.25,263.4
130,TREE:US,23/05/2018,264.45,272.675,264.45,271.8
131,TREE:US,21/05/2018,273.65,282.65,273.65,275.35
132,TREE:US,18/05/2018,273.65,280.8,273.65,278.7
133,TREE:US,17/05/2018,273.75,277.1,270.45,274.45
134,TREE:US,16/05/2018,271.25,275.0,265.3,274.85
135,TREE:US,15/05/2018,270.01,277.9,270.01,270.2
